BPG	P2G	P3G	ADP	DHAP	E4P	F6P	FBP	GAP	NADPH	PEP	PHI	R5P	Ru5P	RuBP	S7P	SBP	Xu5P	ATP	NADP	O2	CO2	PYR
0.0128277545	0.1399093082	1.752112037	0.0955826811	0.0803091699	0.724415121	3.8551345993	1.1460137193	1.2785102739	27.6043127658	0.2893760363	2.9309775391	0.0728087724	0.014371031	2.1534403994	0.1124277476	0.3001856669	0.0849086044	8.3385749614	0.0619807042	0.273	0.15	11.0905249705
0.0115164192	0.6214060716	6.7944884091	0.1062252987	0.8039793848	0.0589210766	2.6163705896	0.475792217	0.3088683923	22.3129120874	0.730994126	3.3938807172	0.0360011496	0.0093862755	1.3630967501	0.0865588318	0.3277865759	0.070209212	1.5022549531	0.2255054444	0.273	0.15	82.5612995385
0.0136095065	0.1488355205	3.8367832465	0.0528137557	2.1822859331	0.4205190599	4.6601224915	6.7576926891	0.3608797065	24.4935558615	0.1771626269	2.9372159091	0.079383261	0.0088003979	0.3040078169	0.1241475397	0.3957081674	0.0619966406	0.8074960645	0.1505657613	0.273	0.15	0.8827325014
0.0279587118	0.5168737954	11.1756881946	0.9211625817	1.1706591461	0.0755750202	3.9556586062	1.0263653015	0.2378918591	19.3425915485	1.787073569	5.5784661609	0.0755661014	0.0263130987	0.1339489953	0.379291464	0.0055956994	0.1613528862	10.1387546396	0.0503156842	0.273	0.15	4.2345475962
0.0544778876	0.2849462788	6.6513186231	0.0870639119	0.0471770483	0.1164101384	2.2218524891	0.091935968	0.4130560281	13.0227783637	0.3713321407	2.6394587642	0.068988273	0.0100060815	1.3448244959	0.0961822896	0.123187244	0.047131716	2.829262062	0.0752905703	0.273	0.15	0.0023890927
0.0336638066	0.2113327814	1.5242134213	0.4856294822	1.3444423096	0.0989101866	3.8158041485	6.0106420047	0.2976547746	21.0682086834	1.0359198482	3.2471818056	0.031296674	0.0090795651	0.1780910564	0.2482120467	0.5986886289	0.1026551396	41.8620253604	0.5784761062	0.273	0.15	80.091732381
0.0025733631	0.6764716687	5.6227139151	0.6239138839	0.1746656643	0.0318021781	1.1590874982	0.9938278966	0.1841800225	25.4605122763	1.8711393241	1.8496394669	0.0398246074	0.0167387677	0.6838106149	0.1504638956	0.0010948845	0.0929493745	19.7723265945	0.0434479616	0.273	0.15	0.020754175
0.0396729941	0.4765894186	8.7820036378	2.5190710787	0.1763113841	0.212437544	3.345182699	0.687071167	0.4897078744	23.3177398125	2.0873553887	5.5779785254	0.0931475232	0.0090321978	0.1307807642	0.4783957237	0.0049650427	0.0378660568	27.6187179805	0.0548163654	0.273	0.15	0.0339694637
0.005721623	0.7195723765	9.7132291426	0.0631533303	0.3341794104	0.0243497729	3.8166353341	0.1679808315	0.202963377	9.0828098935	0.5704325524	1.4154544215	0.0311323718	0.0079029681	0.4324707317	0.2008283221	0.0013978379	0.097936373	1.0348284934	0.0493672411	0.273	0.15	0.0014590347
0.0173954243	0.1078653427	7.8768234706	0.0618993653	0.2037746625	0.2430957367	2.45061555	1.282404193	1.9192700946	17.169534685	0.2364821207	1.0874472734	0.0640968157	0.0082739709	1.3419030028	0.0146889004	0.0001075584	0.0591232996	1.4870391402	0.0442998595	0.273	0.15	41.1428102435
0.0157725856	0.6667701031	8.6396585771	0.1605448553	0.1853064469	0.2274619958	1.8350910999	0.2326726072	1.0597102073	18.341006263	0.4607302742	1.2038875358	0.1093348907	0.0254803528	1.4101801869	0.0984661852	0.4913860687	0.1002484859	2.3401988213	0.0876235847	0.273	0.15	0.0001382984
0.0857184732	0.4039943695	10.5499229932	0.0581084735	0.2286065547	0.5230593314	1.8739603605	0.3970457017	5.9227266576	16.1522486405	1.53656995	1.8515632394	0.1172811604	0.0158384305	0.1428823223	0.1413983718	0.0005736823	0.1121502164	2.7499228682	0.0735901442	0.273	0.15	0.0477678738
0.0123571788	0.3124120507	4.5728205728	0.1939364175	0.0842780498	0.0303603997	2.8094807591	6.5864084577	0.1074279155	26.600542869	1.0484634384	5.8841137052	0.04341544	0.0076893674	0.1903519347	0.5813979145	0.002735634	0.0457065015	14.9589870224	0.0438738154	0.273	0.15	0.1294005597
0.0502590581	0.438747675	2.8069213566	0.3587217958	6.109511555	0.1273020455	2.4705303889	1.2104254049	0.8671092994	9.5740226679	0.6495463526	4.014285071	0.0503338856	0.0123128701	6.2674911228	0.0297592383	6.9744380155	0.0808863154	27.720876015	0.0732827394	0.273	0.15	0.0969978505
0.0120587449	0.3345724147	6.2713005012	0.942169432	0.1001039832	0.0207398881	4.4284921403	1.8990487288	2.1202462536	19.98516926	0.1743076421	1.0729716019	0.1360503078	0.0124430248	3.5669826342	0.0320450533	0.0272685368	0.0638339621	7.7363740224	0.096714813	0.273	0.15	6.8160162328
0.0097213191	0.0467029166	10.6631457856	0.0572138979	0.0227982832	0.0618668212	4.0902391294	0.9292350026	0.0967243809	20.6340164331	0.1949156739	15.6430451238	0.0406326577	0.0080568144	0.104692137	0.4370279744	0.0173320722	0.0855917967	5.6715512595	0.1118138565	0.273	0.15	0.3232415444
0.0268872925	0.6043860384	5.6314343683	0.0614868413	0.0798697904	0.022453623	4.6197416914	6.4665383348	0.1322147565	25.2918582902	0.5556945836	1.2086104355	0.0391200521	0.0090528184	0.2079024307	0.2418808033	0.009106502	0.0847965315	2.3214005694	0.0835501417	0.273	0.15	0.0108295556
0.0380213482	0.1001281644	9.4151512025	0.5243693256	0.0895260315	0.053734891	1.058411288	0.0561414922	0.2044650339	18.108398583	0.1881098878	3.5106385176	0.0567326547	0.0080913392	0.5888086987	0.1268783822	0.013813166	0.0547639389	27.7405480007	0.2339603461	0.273	0.15	0.0016266633
0.0016291368	0.0455444778	1.474457755	0.3366786575	0.160302313	0.0563373422	2.1239285635	0.0742014717	0.159409878	20.7515079704	0.2234676064	2.286145964	0.027255409	0.0078521906	3.8487915505	0.6191920666	0.1864192931	0.0648725101	1.3572156244	0.0786749475	0.273	0.15	0.0001005663
0.0235225029	0.3594350492	3.2109769791	0.6889294791	0.0799046066	0.1332401309	3.0507632023	0.6329989066	0.1900190714	3.3955275238	0.3730306104	1.7432693257	0.1527212149	0.0080851881	0.1068316539	0.8719477338	0.0267696487	0.0407647233	18.0607098329	0.0521926788	0.273	0.15	0.0077642793
0.0315538586	0.5710936144	7.9053323801	0.4000723958	0.7733303619	0.0404453042	4.6382429315	0.5976204304	0.2743673864	21.7314702771	0.4950237369	5.9979532571	0.1001966276	0.0104562519	5.1402006222	0.4863057806	0.0020262501	0.0847417735	15.6345075533	0.0560642612	0.273	0.15	0.0003234207
0.0166102036	0.2099821333	6.1254042147	2.0414447058	1.364428018	0.0203779463	3.0750168696	0.4816384224	0.7886217437	8.0014603102	0.6489094959	1.4116667211	0.055956054	0.0133670031	0.9749098686	0.0550928924	0.0143846164	0.0748894256	18.1077010162	0.0478817558	0.273	0.15	0.0001546658
0.0866592105	0.7805608885	9.9738362674	0.3001736962	0.1878484417	1.6305374851	2.300647436	0.2168727565	21.8435121503	26.6105798007	1.1382389167	1.3000026504	0.1341926155	0.0085833046	1.2086391314	0.1412627946	0.0045549593	0.1594912003	5.6049301528	0.0589066063	0.273	0.15	23.0004595327
0.026275035	0.2711870393	7.0673957691	2.0514508398	0.7456971551	0.1400409322	1.7978024238	4.9057814553	0.3962056408	11.7001854276	0.7257426873	1.3242761539	0.1040844215	0.0081704066	2.9054903464	0.1438213016	0.0162045234	0.0447586711	20.275381364	0.1352345032	0.273	0.15	0.0684838359
0.0051684644	0.7888063795	9.2381373952	0.1344138694	1.8999814253	0.3251474054	4.2812312095	3.9558451173	0.7745038272	17.7691118416	0.7101845	1.1634024877	0.0703352001	0.008147562	0.69795733	0.281883405	0.1388845561	0.1273265075	1.8147159575	0.041472375	0.273	0.15	7.9098704065
0.006055926	0.6879061497	4.7817752021	0.3026217281	0.0837869321	0.0502366074	1.4900518775	0.595998019	0.1341650372	8.8966305521	1.7853327927	2.5896288023	0.0911952732	0.0094656432	8.2891746934	0.2823332635	0.0069643775	0.0463480753	0.9174682915	0.066948413	0.273	0.15	11.4901471725
0.0227459692	0.2872556615	5.2389134436	0.0940521604	3.9124713649	0.1190322613	1.4250939219	0.6460389345	0.6071357056	17.7434683324	0.4413554884	1.0787670474	0.0308824187	0.0082510995	3.096756766	0.0414882413	0.0209801163	0.0396725606	0.9063668896	0.0855811546	0.273	0.15	17.9416551599
0.0007863194	0.468047873	3.1098443411	0.1250714321	0.3837864653	0.0623522322	4.4156793857	1.4148909449	0.0510294838	14.0862248388	0.2305074198	3.8539494874	0.0339575941	0.0111819396	0.1042990047	0.2585092088	0.0010089819	0.0447250398	0.5032643123	0.0427321911	0.273	0.15	0.0853444723
0.056930291	0.0463689928	4.1156082924	0.3085237181	0.2227527007	0.4419083046	3.83066013	3.0945573866	1.0677927371	17.1293733827	0.1785842946	2.4711141647	0.0716394042	0.0141641914	4.283733861	0.0481470504	0.003197813	0.1189853724	11.9510475471	0.053534631	0.273	0.15	0.0002879448
0.0152039873	0.3569930341	5.6070663277	0.0531742843	0.0577201301	0.0506789087	2.5292459005	1.4825754065	0.6077165732	6.3918919895	1.586934069	2.0137126105	0.0534458223	0.0087927511	1.4958271383	0.0282883406	0.000140359	0.0431283386	1.0330584083	0.0788201117	0.273	0.15	2.9630188224
0.0258563547	0.5034503365	11.0546231139	0.1148585864	3.0994055394	0.1852032391	2.8326998726	0.589165007	0.3973848162	6.1951126301	1.1625251457	1.2502080204	0.0970146109	0.0100940872	0.1532595912	0.3787864433	24.018796501	0.0653228275	3.3202402567	0.0432934405	0.273	0.15	0.0266198741
0.088591146	0.3539242312	5.8730355718	0.1393721601	1.7276638406	0.3132195193	1.1679840523	1.0366938394	0.9942755603	20.8591392405	0.2780292363	2.2550319641	0.1112589549	0.0105255385	0.2513898142	0.1398916269	0.0133685691	0.0423740163	4.624875661	0.0885006005	0.273	0.15	0.2762657817
0.0606831933	0.7639885653	5.7625621337	0.1110638073	0.0337740409	0.2058808089	2.9633977648	2.3263283919	0.8128632782	22.7277731936	0.6231340468	3.2379407708	0.1047319583	0.0182681736	5.2244600282	0.3322888189	0.1412438992	0.1521280076	2.9579801633	0.0599941751	0.273	0.15	0.0068948005
0.0425655023	0.1252351263	6.402117844	0.6334978732	0.0481865384	0.0418531949	2.5368695896	0.3281003936	0.2702552924	7.6483534862	0.2397218392	4.1201022082	0.0287420107	0.0116159052	4.5941309789	0.0888675584	0.0008864815	0.0496666339	34.4966891758	0.0752561785	0.273	0.15	0.0087143844
0.089177555	0.5191447163	9.2209900685	0.3534461595	0.7503377105	0.1265989829	1.869025432	0.0803155653	1.5648317286	3.2688596243	0.4821303647	1.6546180841	0.0677924508	0.0246753288	3.042697663	0.1190909381	0.0005399113	0.3438870141	11.446910541	0.0465298902	0.273	0.15	0.0119409225
0.013212141	0.0992055789	2.5972908204	0.8581027585	0.499218121	0.3330006706	1.9319781743	0.1027627966	2.2733903646	25.0791181044	0.4143817048	3.5931280214	0.0446184981	0.014030118	0.061031451	0.0248130778	0.005188531	0.0740305124	26.9588348325	0.0402111134	0.273	0.15	0.5120049016
0.0015574764	0.80585215	4.8969592327	0.209657091	0.2557702043	0.0681035201	4.2299865889	0.0716834374	0.0688616168	18.7052287095	0.2700143729	1.1661456957	0.04914587	0.0108719595	0.5129289811	2.8269487009	0.4957981483	0.0667948081	0.5157869962	0.0990464967	0.273	0.15	0.006126887
0.0587566491	0.7240120641	3.8220303933	0.1353450159	1.0270785743	0.2207233219	4.5824752635	6.6282177366	0.4890086955	13.3691380425	0.2015655036	15.2992673391	0.1370035664	0.0233395708	0.104097172	0.8963426854	0.0357814104	0.1087573486	17.6808031717	0.0643893471	0.273	0.15	0.115479129
0.050455975	0.1478919505	5.8535786416	0.0646446684	2.9361263282	0.0385756699	0.8152285281	4.5827112267	0.3230911974	24.1310310893	0.5218340119	1.9883699849	0.0326301082	0.0097673638	0.3321139717	0.0291893058	0.3587133077	0.0460964271	1.6699262811	1.3870481538	0.273	0.15	0.1761356173
0.057656915	0.8013561028	4.6131480627	0.6460896784	4.4597145065	0.0976433422	4.1071837926	1.7985527831	0.5241344055	15.9876443755	0.9569970289	5.3228607918	0.0264924386	0.0102567611	0.3832354259	0.0791046136	2.8187581165	0.137169781	36.4733312263	0.1085509785	0.273	0.15	0.000416762
0.0105497647	0.4904781408	4.0689263995	0.7147676706	0.046420924	0.2531942451	4.6882626848	6.0862545362	2.7403589365	27.3044261721	0.4185822763	1.2609085824	0.0349443734	0.0109393094	1.9800804264	0.0600776487	0.0030715236	0.3914202455	8.0880528192	0.0633019555	0.273	0.15	0.0208211776
0.0161330661	0.2430617973	1.627339021	0.1742120708	0.1439918293	0.0319668786	2.7455490907	0.3146422415	0.1659257526	1.8455166433	0.1739271557	1.9116832501	0.0316279487	0.0085996011	0.1195729736	0.2122980141	0.0017894349	0.1349173003	10.2176464	0.0930193886	0.273	0.15	0.0006879313
0.0322831078	0.128379094	5.6864720068	0.6198786482	0.7410853955	0.0494365937	2.8497594095	0.179628467	0.214131953	9.2560403696	0.2756649447	1.7804105808	0.0788989758	0.0078480299	0.0990755245	0.167235905	1.9067217014	0.0425183778	19.1738290378	0.7515022865	0.273	0.15	0.0007935332
0.01145019	0.4319151006	3.9388812145	0.0438266955	0.1389975529	0.2900681842	4.2905848539	2.8945328111	1.3882493897	17.2796170551	0.2045677061	1.7376731548	0.0713945076	0.017333614	1.1814241637	0.035559136	0.0003837907	0.0927209554	0.3398626701	0.0777772066	0.273	0.15	0.0015456412
0.0027489265	0.3068905893	5.6023266857	0.2919010101	1.7236760741	0.1204495315	1.2589689718	0.0605267761	0.3054426283	9.2998009529	0.1746084981	1.8238314411	0.1505029238	0.0087142602	1.615830241	0.2440760547	0.3228674967	0.0420722029	14.747365741	0.0453576145	0.273	0.15	0.0023339037
0.0303284758	0.1210284663	2.7424296447	0.0731267387	0.9462519712	0.2478456913	0.3723449982	0.1198036315	2.2621894185	9.6908968728	0.1716404079	1.1415003696	0.0593079784	0.0077945606	0.1687208995	0.0313492689	8.3770864391	0.0380030126	2.7816927428	0.0985661258	0.273	0.15	0.0010934136
0.001640524	0.4229449877	9.4489633266	0.0862576722	0.6960701226	0.0582779627	3.4598738987	0.4654910121	0.153756484	23.3266174069	1.3341981856	6.0635904696	0.0928194038	0.0125026953	1.8405252076	0.6549127923	0.1727978299	0.0988703913	11.7174295305	0.038644033	0.273	0.15	3.887967871
0.0021284682	0.06392668	4.3017616256	0.0955309286	0.443221193	0.0922702466	3.6977125485	2.9790190536	0.2204815883	17.5165238036	0.258046839	1.3783142606	0.031823536	0.012887903	1.5980620757	1.344177472	0.0027117115	0.1064940229	0.7172371082	0.0712745598	0.273	0.15	75.4522173947
0.0402209191	0.7815165728	4.198004294	0.1467408414	1.2451682373	0.2173062688	2.0674927038	0.1034583636	0.8341203649	9.3697932204	1.0411247155	1.0391951887	0.0543496797	0.0098862123	2.7087385265	0.1719383134	0.0002299107	0.0972440502	3.569830336	0.0793672366	0.273	0.15	0.3166898971
0.0042292345	0.2929956667	3.9599021708	2.9876489532	1.1814290986	0.0834252937	1.0407358051	0.072746396	0.2713675524	24.3799102249	0.734509604	1.3347095998	0.0945960254	0.0109732589	0.0753357763	0.2001183627	0.0381112601	0.0440559046	10.1421965552	0.1296162266	0.273	0.15	1.6960208728
0.0574862194	0.7131631316	9.5796780656	0.1031078913	1.4470211584	0.0354187013	1.641906746	0.4274997315	0.2707005555	8.8805863316	0.7570480381	5.3739531127	0.0585557231	0.0092868505	1.4863450434	0.1369821635	0.0706538943	0.0439939031	14.1232628963	0.1974513547	0.273	0.15	45.4048490298
0.0141469432	0.2304890862	4.9025270255	0.3050442602	0.9159879355	0.4937785596	2.4506968446	1.8141588753	0.8725106589	15.5798075334	0.2322089526	1.0681631845	0.0769253174	0.0116540573	0.1196065003	1.2060121512	6.1042881273	0.0492279898	4.5214541884	0.2130714133	0.273	0.15	1.6372295759
0.0014837596	0.3693754384	5.9419712282	0.8387683854	0.3801691809	0.1066306007	4.2736916069	0.0927747958	0.1843852062	17.2586511569	0.3613033094	1.0661154697	0.0289794286	0.0088603738	1.255786178	0.1307708619	1.6631059075	0.0372974478	11.5993117948	0.074242226	0.273	0.15	1.8705626385
0.0068527501	0.1949211141	11.4713828242	0.1001783095	0.0265286092	0.0340936243	3.4823783304	4.6841499662	0.2752689293	13.5921761036	0.6946520935	1.7764212453	0.0380424305	0.0126092261	0.3315851695	0.0678851589	0.0003591744	0.073574312	5.8781425895	0.1098986115	0.273	0.15	7.7024643087
0.0190091622	0.4051173694	6.9761521235	0.3529003235	0.0315109425	0.0171990005	1.9060313565	0.1633067286	0.1238034518	7.7046183639	0.3286126246	3.0244046652	0.0455893057	0.0141996474	4.3370653804	0.1405664147	0.0027883428	0.0585597416	17.3991307079	0.229476869	0.273	0.15	0.0675865298
0.0303190049	0.688491008	4.4445303369	0.1427854921	0.3350897792	0.1064317315	3.4239722148	0.429475123	1.3235140382	11.8844297259	0.3735028619	1.2456791329	0.102951571	0.0330818762	0.1215283789	0.1820164848	1.6433903017	0.3400131552	3.5241993212	0.1382444438	0.273	0.15	48.6008419273
0.0105784515	0.1793406693	2.0553295956	0.1163089369	0.0865615258	0.0265494847	3.4990100884	5.5684279834	0.0934276685	5.5504717097	0.5992041591	1.1768616548	0.0407317987	0.0102121765	0.4638296935	0.4340524812	0.008032486	0.0646299134	4.4486452239	0.2519558994	0.273	0.15	49.0124601558
0.0067150056	0.5945322696	6.7708672272	0.232646064	1.5354387324	0.062868687	2.8324177035	5.0288326677	0.2644145243	16.5550523168	1.0569763858	5.1879120058	0.0867640985	0.0118992151	0.190013134	0.5415423603	0.0068347836	0.1446193952	5.2239429986	0.042078305	0.273	0.15	0.3310795543
0.0070935347	0.5282255379	3.5519636513	0.7432987136	0.0535898184	0.0473956548	4.1480612529	4.5863998547	0.1776042605	6.3643773905	0.3393854072	1.7818535978	0.0750374867	0.010691219	10.3800907285	0.2480983713	0.0104680294	0.0548395396	7.262471563	0.0550060486	0.273	0.15	0.0087148469
0.0100278948	0.4004500595	4.612634872	0.1521674391	2.3593083017	0.3240807873	1.7529577447	2.1817605771	2.9823345826	22.4487241567	1.5047005115	1.0741719876	0.08420379	0.0080638459	0.3490722035	0.0494215537	0.0178309984	0.0968503163	4.4097272865	0.046311544	0.273	0.15	0.007022132
0.0086562013	0.2921459432	9.0540690193	0.1455845678	0.4012852027	0.2338064406	2.9090457704	1.289329362	0.6590812064	25.2513616846	0.4122828754	1.1432661161	0.0254307928	0.0090042201	0.5706462496	0.076674443	3.1432506066	0.0403451461	0.7328339406	0.0784622133	0.273	0.15	1.5641472665
0.0284237889	0.3262746228	2.5318567363	0.2924348027	0.7527211013	0.8476710278	4.2316835481	1.606374853	1.9335869162	25.8748450518	1.4039486677	1.0389328969	0.0805520879	0.0193598811	0.080932086	0.0999348455	0.1356923747	0.1441739544	6.9683201741	0.1463921774	0.273	0.15	29.6341777443
0.0076127302	0.326750635	4.2760144301	1.4546109597	0.1246562428	0.0810888298	1.9788367843	0.1364412462	1.1057838429	20.0863528295	1.319638359	1.1196471057	0.0407877047	0.0152139198	0.2114410991	0.0743179054	0.1300026156	0.1996622753	14.2810505014	0.0648162354	0.273	0.15	1.2335945947
0.0548589656	0.0551362204	4.228846557	0.0972575988	0.7780084718	0.5369499564	4.2607291275	5.5973733386	1.9440261567	12.6766576239	0.2201006139	6.4720874406	0.0430698059	0.0164265259	0.2286778343	1.0057980839	0.0395356738	0.0672613841	8.134422403	0.048479591	0.273	0.15	0.5761669054
0.0122851352	0.2175498381	4.3973208858	0.5499895365	0.6236155497	0.0399534831	4.3950983305	0.7302587415	0.1501617549	14.1486794656	0.42272215	1.3600812845	0.0481546618	0.009493496	4.6159905883	0.1182958136	0.0011186087	0.0522416663	5.7558463857	0.0810146237	0.273	0.15	64.2921783783
0.0613571153	0.1584354448	10.8460540709	0.78582655	0.0688714013	0.2573084179	2.6774326056	1.047200897	1.0127074689	9.9402355126	0.3497120883	1.1512406501	0.1028330826	0.0130790221	0.8710835898	0.1313508473	0.0237806674	0.1229590965	28.0759499834	0.1764117394	0.273	0.15	0.0009784123
0.0341002328	0.30319879	6.380243262	2.3090471737	0.3840943884	0.1047964311	0.6522830086	0.2843184075	2.6379674391	17.7766416364	0.2390646671	1.0781469163	0.0391087686	0.0079850659	3.8346034836	0.0168086878	0.0029214386	0.04155431	39.8655700075	0.0928021167	0.273	0.15	0.149671423
0.0328650573	0.1921794069	1.8871519118	0.1720279323	0.1862220031	0.3239355564	2.6849744493	0.3425017088	0.435942598	16.8334423794	0.2900324966	4.6760328741	0.0421382413	0.0136690045	0.8779516532	0.0696509966	0.0004794836	0.0544061665	25.0611709906	0.1057584369	0.273	0.15	14.7453622908
0.0509200766	0.687014068	7.8649432045	0.4641859848	0.1901693232	0.0113199802	1.8611852683	2.9984306064	0.0948389789	21.7078370694	0.8083760321	10.8247735758	0.0427710641	0.0112637014	0.2863588413	0.1523710596	0.0023114215	0.0527734212	8.2772665115	0.480593648	0.273	0.15	0.147625212
0.0072689635	0.1239573615	3.2943800601	0.2150551806	0.767423004	0.0612804879	2.2073938495	1.3445800539	0.1746974967	21.3099023954	0.5069952082	3.7751526557	0.0714398379	0.0170942571	1.2252100873	0.2504487562	0.0092721121	0.0905357056	7.2483348064	0.1092041282	0.273	0.15	0.0026250412
0.0388056456	0.1808291449	4.9807133517	1.128966628	0.3148937268	0.020297021	1.1364805791	4.7788033601	0.2270100428	2.900368725	0.5785629271	1.4002831023	0.0310696848	0.0077766933	0.1486298837	0.0360938591	0.0784828162	0.0399965789	18.7029072673	0.1283916557	0.273	0.15	21.5368927835
0.0503421138	0.8260350229	9.6823881463	1.3878690708	0.1650678555	0.0836009805	1.5941393915	0.5258194978	4.8693030157	10.0416734949	0.4275427657	1.0705180179	0.0579498113	0.0081490503	0.3003063473	0.0239659444	0.1047989246	0.0867636003	21.516450912	0.0731518426	0.273	0.15	25.000570394
0.0032675114	0.2491322355	8.928364404	0.0825885739	3.6763114817	0.1765818663	4.2006908013	0.2917985428	0.5750756469	17.1097968192	0.5695995198	1.2552505131	0.0821709673	0.0116356179	2.8654865671	0.3211238988	0.0129767352	0.0946188492	1.5344533808	0.0605228461	0.273	0.15	0.0161271485
0.0010961817	0.7938883038	8.4611171257	0.164176127	0.1321782532	0.0910725909	2.925566622	1.4055863474	0.2225716849	25.0697072854	0.5472372562	2.1729782628	0.0329457437	0.0127642577	0.1870417431	0.3069083318	0.5075371912	0.0695872507	0.2694059912	0.0386258633	0.273	0.15	0.0260146765
0.0063517926	0.0917161432	2.5043326416	1.7933618652	0.6842865346	0.0364322849	1.9191624412	6.5077214866	0.086386243	21.620207722	0.2335302716	2.9709490806	0.0279797329	0.0116275494	0.1967107655	0.1402286762	2.2610189464	0.0686193872	12.7859708951	0.041262975	0.273	0.15	0.000433298
0.018872853	0.3265324393	10.7751615086	0.0591198798	2.4823212972	0.2570750761	3.7745752119	1.0167108827	0.4852437859	2.6537711578	1.1550034589	2.0510364931	0.1510015002	0.010264301	0.592649812	0.6428258181	0.0010106611	0.1091837036	0.8456322349	0.0466896896	0.273	0.15	64.0088586239
0.0285028505	0.2591158501	2.7287423686	0.89194832	0.2756126023	0.1269964566	1.8462552785	2.9414936255	1.7267105437	8.2189639486	0.1879918757	1.0852424319	0.1053605873	0.0114369975	0.0946082453	0.1144719456	0.0037030279	0.0631962479	22.8381668202	0.0952726665	0.273	0.15	2.7414724719
0.0581685429	0.3784718583	2.2243130029	0.0457041946	0.0849057891	0.0505674975	2.5162618571	0.8059954482	0.3380091611	9.3640518997	1.5553163227	5.1811591747	0.0362288859	0.0078881918	0.2669232285	0.1591426371	0.0025589341	0.0309142742	5.0112353418	0.0722506884	0.273	0.15	0.4645347235
0.0773931985	0.458496136	10.9821765419	0.7702373433	0.0273188369	0.1038296083	4.5293097274	5.1748429301	0.254312057	18.9683487053	0.2059407512	2.4225207744	0.0615713943	0.0102309023	2.4383204567	1.6767960256	0.122790239	0.1563555305	15.8766563848	0.3902394086	0.273	0.15	0.0053112514
0.0290047019	0.753354794	6.1986669974	1.9117717971	0.0304984142	0.0533062453	4.3066319893	2.5354177183	5.3075279603	27.4100178741	0.9931991753	2.0742393861	0.0692598982	0.00942523	0.0807404737	0.0222859625	0.0145528451	0.2023980239	32.3987600786	0.0543515755	0.273	0.15	0.0031116232
